total_off_points,total_tds,td_pct,pass_pct_defense,rec_td_pct,receiving_touchdown,total_off_yards,ypa,win_pct,team,season
327.0,58.0,0.04,0.52,0.04,23.0,5770,6.71,0.235,DET,2021
444.0,92.0,0.06,0.62,0.067,39.0,6426,7.72,0.722,GB,2021
272.0,51.0,0.04,0.52,0.04,21.0,5052,6.84,0.235,HOU,2021
432.0,76.0,0.06,0.6,0.053,27.0,6128,6.99,0.529,IND,2021
255.0,40.0,0.03,0.54,0.02,12.0,5429,6.26,0.176,JAX,2021
457.0,90.0,0.06,0.6,0.056,37.0,6892,7.46,0.7,KC,2021
459.0,92.0,0.07,0.6,0.07,41.0,6576,8.31,0.762,LA,2021
471.0,95.0,0.06,0.54,0.058,38.0,6848,7.61,0.529,LAC,2021
375.0,60.0,0.04,0.58,0.037,23.0,6425,7.83,0.556,LV,2021
306.0,54.0,0.04,0.6,0.035,21.0,5504,6.55,0.529,MIA,2021
425.0,82.0,0.06,0.59,0.057,34.0,6380,7.45,0.471,MIN,2021
454.0,73.0,0.05,0.55,0.046,24.0,6249,7.85,0.556,NE,2021
355.0,70.0,0.05,0.6,0.059,29.0,5428,7.0,0.529,NO,2021
253.0,38.0,0.03,0.57,0.026,15.0,5151,6.04,0.235,NYG,2021
304.0,55.0,0.04,0.54,0.034,20.0,5626,6.79,0.235,NYJ,2021
415.0,65.0,0.05,0.57,0.041,20.0,6300,7.41,0.5,PHI,2021
338.0,56.0,0.04,0.55,0.035,23.0,5600,6.15,0.5,PIT,2021
392.0,79.0,0.06,0.57,0.061,30.0,5889,7.82,0.412,SEA,2021
415.0,74.0,0.06,0.57,0.052,26.0,6599,8.87,0.6,SF,2021
501.0,104.0,0.07,0.66,0.06,43.0,7055,7.49,0.737,TB,2021
401.0,68.0,0.05,0.65,0.042,22.0,6149,7.19,0.667,TEN,2021
331.0,57.0,0.04,0.6,0.039,21.0,5807,7.0,0.412,WAS,2021
312.0,49.0,0.03,0.59,0.026,17.0,5839,6.13,0.235,ARI,2022
345.0,52.0,0.04,0.54,0.042,17.0,5645,7.21,0.412,ATL,2022
351.0,53.0,0.04,0.61,0.04,19.0,5922,6.74,0.556,BAL,2022
446.0,87.0,0.06,0.61,0.062,35.0,6523,7.66,0.778,BUF,2022
331.0,49.0,0.04,0.56,0.036,16.0,5456,7.31,0.412,CAR,2022
334.0,57.0,0.05,0.48,0.052,19.0,5612,7.18,0.176,CHI,2022
414.0,84.0,0.06,0.58,0.059,35.0,6048,7.56,0.737,CIN,2022
337.0,57.0,0.04,0.53,0.036,19.0,6200,7.03,0.412,CLE,2022
